Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0166147287	508092.048	508092.048	508092.048	508092.048	0	0	0	0	1.21938e+07	0	0	3
2	3	0	0.0332294575	492124.496	500108.272	492124.496	508092.048	7983.7757	0	0	0	7.39202e+06	0	0	3
3	3	0	0.0498441862	579743.551	526653.365	492124.496	579743.551	26545.093	0	0	0	4.71915e+06	0	0	3
4	4	0	0.066458915	662826.096	560696.548	492124.496	662826.096	60588.2757	0	0	0	3.60873e+06	0	0	3
5	4	0	0.0830736437	692144.879	586986.214	492124.496	692144.879	86877.942	0	0	0	3.52357e+06	0	0	3
6	4	0	0.0996883725	684821.471	603292.09	492124.496	692144.879	103183.818	0	0	0	3.43528e+06	0	0	3
7	5	0	0.116303101	673210.026	613280.367	492124.496	692144.879	113172.095	0	0	0	3.3999e+06	0	0	3
8	5	0	0.13291783	665534.537	619812.138	492124.496	692144.879	119703.866	0	0	0	3.29193e+06	0	0	3
9	5	0	0.149532559	662841.274	624593.153	492124.496	692144.879	124484.881	0	0	0	3.16798e+06	0	0	3
10	5	0	0.166147287	662645.292	628398.367	492124.496	692144.879	128290.095	0	0	0	2.97664e+06	0	0	3
11	6	0	0.182762016	663898.366	631625.64	492124.496	692144.879	131517.368	0	0	0	2.94106e+06	0	0	3
12	6	0	0.199376745	664680.319	634380.196	492124.496	692144.879	134271.924	0	0	0	2.8565e+06	0	0	3
13	6	0	0.215991474	665506.585	636774.534	492124.496	692144.879	136666.262	0	0	0	2.79946e+06	0	0	3
14	7	0	0.232606202	665575.908	638831.775	492124.496	692144.879	138723.503	0	0	0	2.72189e+06	0	0	3
15	7	0	0.249220931	665677.685	640621.502	492124.496	692144.879	140513.23	0	0	0	2.68591e+06	0	0	3
16	7	0	0.26583566	665403.698	642170.389	492124.496	692144.879	142062.117	0	0	0	2.63759e+06	0	0	3
17	8	0	0.282450389	665472.363	643541.094	492124.496	692144.879	143432.822	0	0	0	2.64183e+06	0	0	3
18	8	0	0.299065117	665209.397	644744.888	492124.496	692144.879	144636.616	0	0	0	2.64262e+06	0	0	3
19	8	0	0.315679846	665329.248	645828.276	492124.496	692144.879	145720.004	0	0	0	2.64686e+06	0	0	3
20	8	0	0.332294575	665225.61	646798.142	492124.496	692144.879	146689.87	0	0	0	2.65851e+06	0	0	3
21	9	0	0.348909304	665416.475	647684.73	492124.496	692144.879	147576.458	0	0	0	2.67081e+06	0	0	3
22	9	0	0.365524032	665265.724	648483.866	492124.496	692144.879	148375.594	0	0	0	2.67268e+06	0	0	3
23	9	0	0.382138761	665377.303	649218.363	492124.496	692144.879	149110.091	0	0	0	2.69443e+06	0	0	3
24	10	0	0.39875349	665216.502	649884.952	492124.496	692144.879	149776.68	0	0	0	2.69142e+06	0	0	3
25	10	0	0.415368219	665328.389	650502.69	492124.496	692144.879	150394.418	0	0	0	2.71179e+06	0	0	3
26	10	0	0.431982947	665169.986	651066.816	492124.496	692144.879	150958.544	0	0	0	2.7114e+06	0	0	3
27	11	0	0.448597676	665174.631	651589.328	492124.496	692144.879	151481.056	0	0	0	2.71486e+06	0	0	3
28	11	0	0.465212405	665026.316	652069.221	492124.496	692144.879	151960.948	0	0	0	2.72467e+06	0	0	3
29	11	0	0.481827134	665052.682	652516.926	492124.496	692144.879	152408.654	0	0	0	2.72224e+06	0	0	3
30	11	0	0.498441862	664918.141	652930.3	492124.496	692144.879	152822.028	0	0	0	2.71839e+06	0	0	3
31	12	0	0.515056591	665049.572	653321.244	492124.496	692144.879	153212.972	0	0	0	2.73113e+06	0	0	3
32	12	0	0.53167132	665075.604	658385.23	492124.496	692144.879	158276.958	0	0	0	2.73041e+06	0	0	3
33	13	0	0.548286049	665117.929	663965.663	579743.551	692144.879	112401.328	0	0	0	2.72632e+06	0	0	3
34	13	0	0.564900777	665066.552	666718.018	662645.292	692144.879	29499.5877	0	0	0	2.72823e+06	0	0	3
35	13	0	0.581515506	665098.086	666791.308	662645.292	692144.879	29499.5877	0	0	0	2.72712e+06	0	0	3
36	14	0	0.598130235	665066.518	665917.813	662645.292	684821.471	22176.1792	0	0	0	2.73752e+06	0	0	3
37	14	0	0.614744964	665074.134	665280.802	662645.292	673210.026	10564.7342	0	0	0	2.72921e+06	0	0	3
38	14	0	0.631359692	665035.745	665017.115	662645.292	665677.685	3032.39369	0	0	0	2.73896e+06	0	0	3
39	14	0	0.647974421	664997.525	664999.792	662645.292	665677.685	3032.39369	0	0	0	2.73051e+06	0	0	3
40	15	0	0.66458915	664935.33	665067.342	662645.292	665677.685	3032.39369	0	0	0	2.73897e+06	0	0	3
41	15	0	0.681203879	664943.428	665141.476	663898.366	665677.685	1779.31884	0	0	0	2.74644e+06	0	0	3
42	15	0	0.697818607	664918.51	665174.384	664680.319	665677.685	997.366054	0	0	0	2.73626e+06	0	0	3
43	16	0	0.714433336	664923.489	665182.228	664918.141	665677.685	759.544159	0	0	0	2.74259e+06	0	0	3
44	16	0	0.731048065	664884.873	665162.173	664884.873	665677.685	792.812341	0	0	0	2.74137e+06	0	0	3
45	16	0	0.747662793	664869.939	665139.4	664869.939	665677.685	807.745831	0	0	0	2.73103e+06	0	0	3
46	17	0	0.764277522	664810.716	665111.433	664810.716	665472.363	661.646951	0	0	0	2.73909e+06	0	0	3
47	17	0	0.780892251	664745.973	665090.216	664745.973	665472.363	726.389844	0	0	0	2.72595e+06	0	0	3
48	18	0	0.79750698	664693.188	665065.081	664693.188	665416.475	723.286709	0	0	0	2.72599e+06	0	0	3
49	18	0	0.814121708	664618.241	665046.012	664618.241	665416.475	798.234144	0	0	0	2.72774e+06	0	0	3
50	18	0	0.830736437	664575.224	665021.688	664575.224	665416.475	841.250531	0	0	0	2.7249e+06	0	0	3
51	19	0	0.847351166	664522.569	664999.01	664522.569	665416.475	893.906295	0	0	0	2.72404e+06	0	0	3
52	19	0	0.863965895	664493.587	664969.239	664493.587	665377.303	883.715865	0	0	0	2.71381e+06	0	0	3
53	19	0	0.880580623	664471.679	664943.625	664471.679	665377.303	905.624088	0	0	0	2.72691e+06	0	0	3
54	20	0	0.897195352	664455.433	664913.887	664455.433	665328.389	872.956491	0	0	0	2.71238e+06	0	0	3
55	20	0	0.913810081	664436.611	664888.729	664436.611	665328.389	891.778275	0	0	0	2.71928e+06	0	0	3
56	20	0	0.93042481	664388.107	664858.397	664388.107	665174.631	786.524188	0	0	0	2.70599e+06	0	0	3
57	21	0	0.947039538	664349.698	664831.936	664349.698	665174.631	824.932931	0	0	0	2.7145e+06	0	0	3
58	21	0	0.963654267	664315.251	664804.215	664315.251	665117.929	802.678616	0	0	0	2.70436e+06	0	0	3
59	21	0	0.980268996	664281.864	664780.2	664281.864	665117.929	836.065049	0	0	0	2.71254e+06	0	0	3
60	21	0	0.996883725	664250.21	664754.314	664250.21	665117.929	867.71931	0	0	0	2.69867e+06	0	0	3
61	22	0	1.01349845	664202.833	664731.239	664202.833	665117.929	915.096132	3372.03985	0	100	2.69977e+06	0	0	3
62	22	0	1.03011318	664149.893	664702.217	664149.893	665117.929	968.036529	3372.03985	0	100	2.69843e+06	0	0	3
63	23	0	1.04672791	664095.385	664670.597	664095.385	665117.929	1022.54423	3372.03985	0	100	2.70677e+06	0	0	3
64	23	0	1.06334264	664041.417	664635.871	664041.417	665098.086	1056.66885	3372.03985	0	100	2.69313e+06	0	0	3
65	23	0	1.07995737	663980.434	664600.835	663980.434	665098.086	1117.6523	3372.03985	0	100	2.70223e+06	0	0	3
66	24	0	1.0965721	663909.586	664562.496	663909.586	665074.134	1164.54816	3372.03985	0	100	2.68802e+06	0	0	3
67	24	0	1.11318683	663840.99	664522.963	663840.99	665074.134	757.838386	3372.03985	0	100	2.69697e+06	0	0	3
68	25	0	1.12980155	663767.012	664480.798	663767.012	665035.745	701.429868	3372.03985	0	100	2.68914e+06	0	0	3
69	25	0	1.14641628	663713.901	664438.158	663713.901	664997.525	744.069982	3372.03985	0	100	2.6975e+06	0	0	3
70	25	0	1.16303101	663656.32	664394.893	663656.32	664943.428	787.334666	3372.03985	0	100	2.68396e+06	0	0	3
71	26	0	1.17964574	663605.511	664351.996	663605.511	664943.428	830.232036	3372.03985	0	100	2.68405e+06	0	0	3
72	26	0	1.19626047	663541.375	664306.768	663541.375	664923.489	875.459574	3372.03985	0	100	2.6842e+06	0	0	3
73	27	0	1.2128752	663497.579	664260.932	663497.579	664923.489	921.296049	3372.03985	0	100	2.68947e+06	0	0	3
74	27	0	1.22948993	663458.495	664213.674	663458.495	664884.873	948.498714	3372.03985	0	100	2.67687e+06	0	0	3
75	27	0	1.24610466	663436.515	664166.953	663436.515	664869.939	972.446747	3372.03985	0	100	2.67762e+06	0	0	3
76	28	0	1.26271938	663392.516	664119.294	663392.516	664810.716	992.138829	3372.03985	0	100	2.67721e+06	0	0	3
77	28	0	1.27933411	663348.324	664072.12	663348.324	664745.973	1018.09583	3372.03985	0	100	2.68302e+06	0	0	3
78	28	0	1.29594884	663312.051	664025.864	663312.051	664693.188	1039.21672	3372.03985	0	100	2.67055e+06	0	0	3
79	29	0	1.31256357	663295.667	663980.783	663295.667	664618.241	1065.22847	3372.03985	0	100	2.67112e+06	0	0	3
80	29	0	1.3291783	663265.128	663937.134	663265.128	664575.224	1084.55391	3372.03985	0	100	2.66991e+06	0	0	3
81	30	0	1.34579303	663247.164	663894.294	663247.164	664522.569	1104.71581	3372.03985	0	100	2.67769e+06	0	0	3
82	30	0	1.36240776	663224.76	663852.429	663224.76	664493.587	1116.81003	3372.03985	0	100	2.66321e+06	0	0	3
83	30	0	1.37902249	663204.623	663810.849	663204.623	664471.679	1132.77516	3372.03985	0	100	2.66592e+06	0	0	3
84	31	0	1.39563721	663163.235	663768.642	663163.235	664455.433	1145.24529	3372.03985	0	100	2.6644e+06	0	0	3
85	31	0	1.41225194	663139.04	663726.177	663139.04	664436.611	1162.55179	3372.03985	0	100	2.6722e+06	0	0	3
86	32	0	1.42886667	663115.507	663683.561	663115.507	664388.107	1174.83635	3372.03985	0	100	2.65731e+06	0	0	3
87	32	0	1.4454814	663099.307	663641.987	663099.307	664349.698	1189.94964	3372.03985	0	100	2.65902e+06	0	0	3
88	33	0	1.46209613	663071.522	663600.755	663071.522	664315.251	1203.45918	3372.03985	0	100	2.65857e+06	0	0	3
89	33	0	1.47871086	663046.76	663559.836	663046.76	664281.864	1220.36367	3372.03985	0	100	2.66846e+06	0	0	3
90	33	0	1.49532559	663019.122	663519.103	663019.122	664250.21	1231.08813	3372.03985	0	100	2.65327e+06	0	0	3
91	34	0	1.51194032	662998.384	663478.721	662998.384	664202.833	1204.44866	3372.03985	0	100	2.65466e+06	0	0	3
92	34	0	1.52855504	662945.053	663438.148	662945.053	664149.893	1204.83941	3372.03985	0	100	2.65306e+06	0	0	3
93	35	0	1.54516977	662924.031	663398.604	662924.031	664095.385	1171.35439	3372.03985	0	100	2.66236e+06	0	0	3
