Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0166147287	293.199882	293.199882	293.199882	293.199882	0	0	0	0	0.0952965	0	0	3
2	3	0	0.0332294575	293.19984	293.199861	293.19984	293.199882	2.09586859e-05	0	0	0	0.121684	0	0	3
3	3	0	0.0498441862	293.199812	293.199844	293.199812	293.199882	3.73542983e-05	0	0	0	0.140479	0	0	3
4	4	0	0.066458915	293.199792	293.199831	293.199792	293.199882	5.03417965e-05	0	0	0	0.166497	0	0	3
5	4	0	0.0830736437	293.199771	293.199819	293.199771	293.199882	6.24234899e-05	0	0	0	0.180152	0	0	3
6	4	0	0.0996883725	293.199736	293.199805	293.199736	293.199882	7.62960019e-05	0	0	0	0.201743	0	0	3
7	5	0	0.116303101	293.199692	293.199789	293.199692	293.199882	9.25227975e-05	0	0	0	0.211759	0	0	3
8	5	0	0.13291783	293.199648	293.199772	293.199648	293.199882	0.000110159499	0	0	0	0.214277	0	0	3
9	5	0	0.149532559	293.199606	293.199753	293.199606	293.199882	0.000128603327	0	0	0	0.218954	0	0	3
10	5	0	0.166147287	293.199565	293.199734	293.199565	293.199882	0.000147377708	0	0	0	0.224595	0	0	3
11	6	0	0.182762016	293.19951	293.199714	293.19951	293.199882	0.000167822254	0	0	0	0.240174	0	0	3
12	6	0	0.199376745	293.199585	293.199703	293.19951	293.199882	0.000178569624	0	0	0	0.24752	0	0	3
13	6	0	0.215991474	293.199659	293.1997	293.19951	293.199882	0.000181969028	0	0	0	0.294104	0	0	3
14	7	0	0.232606202	293.199724	293.199702	293.19951	293.199882	0.000181969028	0	0	0	0.336493	0	0	3
15	7	0	0.249220931	293.199786	293.199707	293.19951	293.199882	0.000181969028	0	0	0	0.371073	0	0	3
16	7	0	0.26583566	293.199867	293.199717	293.19951	293.199882	0.000181969028	0	0	0	0.390331	0	0	3
17	8	0	0.282450389	293.199936	293.19973	293.19951	293.199936	0.000181969028	0	0	0	0.396171	0	0	3
18	8	0	0.299065117	293.200001	293.199745	293.19951	293.200001	0.000181969028	0	0	0	0.409149	0	0	3
19	8	0	0.315679846	293.200047	293.199761	293.19951	293.200047	0.000181969028	0	0	0	0.423835	0	0	3
20	8	0	0.332294575	293.200096	293.199778	293.19951	293.200096	0.000181969028	0	0	0	0.439993	0	0	3
21	9	0	0.348909304	293.200152	293.199795	293.19951	293.200152	0.000181969028	0	0	0	0.460255	0	0	3
22	9	0	0.365524032	293.200214	293.199815	293.19951	293.200214	0.000181969028	0	0	0	0.471068	0	0	3
23	9	0	0.382138761	293.200268	293.199834	293.19951	293.200268	0.000181969028	0	0	0	0.483496	0	0	3
24	10	0	0.39875349	293.200321	293.199854	293.19951	293.200321	0.000181969028	0	0	0	0.485475	0	0	3
25	10	0	0.415368219	293.200368	293.199875	293.19951	293.200368	0.000181969028	0	0	0	0.494392	0	0	3
26	10	0	0.431982947	293.200434	293.199897	293.19951	293.200434	0.000196722315	0	0	0	0.49798	0	0	3
27	11	0	0.448597676	293.200497	293.199919	293.19951	293.200497	0.00021896094	0	0	0	0.500255	0	0	3
28	11	0	0.465212405	293.20056	293.199942	293.19951	293.20056	0.000241866394	0	0	0	0.503585	0	0	3
29	11	0	0.481827134	293.200622	293.199965	293.19951	293.200622	0.000265333842	0	0	0	0.504942	0	0	3
30	11	0	0.498441862	293.20068	293.199989	293.19951	293.20068	0.000289155888	0	0	0	0.504308	0	0	3
31	12	0	0.515056591	293.200747	293.200013	293.19951	293.200747	0.00031362272	0	0	0	0.508235	0	0	3
32	12	0	0.53167132	293.200809	293.200043	293.19951	293.200809	0.000343531833	0	0	0	0.507399	0	0	3
33	13	0	0.548286049	293.200867	293.200076	293.19951	293.200867	0.000376660403	0	0	0	0.507197	0	0	3
34	13	0	0.564900777	293.200918	293.200112	293.19951	293.200918	0.000412356409	0	0	0	0.50681	0	0	3
35	13	0	0.581515506	293.200966	293.20015	293.19951	293.200966	0.000450210673	0	0	0	0.506339	0	0	3
36	14	0	0.598130235	293.201026	293.200191	293.19951	293.201026	0.000490705923	0	0	0	0.507645	0	0	3
37	14	0	0.614744964	293.201078	293.200234	293.19951	293.201078	0.00053400765	0	0	0	0.505865	0	0	3
38	14	0	0.631359692	293.201122	293.20028	293.19951	293.201122	0.000580133139	0	0	0	0.506229	0	0	3
39	14	0	0.647974421	293.201158	293.200329	293.19951	293.201158	0.000628840169	0	0	0	0.504787	0	0	3
40	15	0	0.66458915	293.201192	293.20038	293.19951	293.201192	0.000680026454	0	0	0	0.505171	0	0	3
41	15	0	0.681203879	293.201224	293.200433	293.19951	293.201224	0.000733531889	0	0	0	0.508218	0	0	3
42	15	0	0.697818607	293.201257	293.20049	293.199585	293.201257	0.000789896618	0	0	0	0.504581	0	0	3
43	16	0	0.714433336	293.201278	293.200544	293.199659	293.201278	0.000844506599	0	0	0	0.507865	0	0	3
44	16	0	0.731048065	293.201301	293.200597	293.199724	293.201301	0.000895773633	0	0	0	0.506529	0	0	3
45	16	0	0.747662793	293.201314	293.200649	293.199786	293.201314	0.000941446208	0	0	0	0.505751	0	0	3
46	17	0	0.764277522	293.20133	293.200698	293.199867	293.20133	0.000981278787	0	0	0	0.506481	0	0	3
47	17	0	0.780892251	293.201341	293.200746	293.199936	293.201341	0.0010159595	0	0	0	0.504787	0	0	3
48	18	0	0.79750698	293.201355	293.200792	293.200001	293.201355	0.00104670761	0	0	0	0.504181	0	0	3
49	18	0	0.814121708	293.201367	293.200836	293.200047	293.201367	0.00107487777	0	0	0	0.505964	0	0	3
50	18	0	0.830736437	293.201379	293.200879	293.200096	293.201379	0.00110107486	0	0	0	0.505093	0	0	3
51	19	0	0.847351166	293.201385	293.20092	293.200152	293.201385	0.00112485415	0	0	0	0.506188	0	0	3
52	19	0	0.863965895	293.201395	293.20096	293.200214	293.201395	0.0011459059	0	0	0	0.503494	0	0	3
