Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0164625129	1416.29491	1416.29491	1416.29491	1416.29491	0	0	0	0	0	0	0	3
2	3	0	0.0329250259	1405.04062	1410.66776	1405.04062	1416.29491	5.627143	0	0	0	0	0	0	3
3	3	0	0.0493875388	1403.58552	1408.30702	1403.58552	1416.29491	7.98789024	0	0	0	0	0	0	3
4	4	0	0.0658500517	1395.77464	1405.17392	1395.77464	1416.29491	11.1209836	0	0	0	0	0	0	3
5	4	0	0.0823125647	1382.7424	1400.68762	1382.7424	1416.29491	15.6072888	0	0	0	0	0	0	3
6	4	0	0.0987750776	1368.13206	1395.26169	1368.13206	1416.29491	21.0332151	0	0	0	0	0	0	3
7	4	0	0.115237591	1354.95827	1389.50406	1354.95827	1416.29491	26.7908473	0	0	0	0	0	0	3
8	5	0	0.131700103	1344.86874	1383.92464	1344.86874	1416.29491	32.3702625	0	0	0	0	0	0	3
9	5	0	0.148162616	1338.87831	1378.9195	1338.87831	1416.29491	37.3754106	0	0	0	0	0	0	3
10	5	0	0.164625129	1333.37126	1374.36467	1333.37126	1416.29491	41.930234	0	0	0	0	0	0	3
11	6	0	0.181087642	1327.46086	1370.10069	1327.46086	1416.29491	46.1942174	0	0	0	0	0	0	3
12	6	0	0.197550155	1323.53515	1366.22023	1323.53515	1416.29491	50.0746793	0	0	0	0	0	0	3
13	6	0	0.214012668	1320.98496	1362.74059	1320.98496	1416.29491	53.5543156	0	0	0	0	0	0	3
14	6	0	0.230475181	1319.28991	1359.63697	1319.28991	1416.29491	56.6579358	0	0	0	0	0	0	3
15	7	0	0.246937694	1318.23117	1356.87658	1318.23117	1416.29491	59.4183226	0	0	0	0	0	0	3
16	7	0	0.263400207	1317.33772	1354.40541	1317.33772	1416.29491	61.8895016	0	0	0	0	0	0	3
17	7	0	0.27986272	1316.88741	1352.19846	1316.88741	1416.29491	64.0964426	0	0	0	0	0	0	3
18	7	0	0.296325233	1316.74431	1350.22879	1316.74431	1416.29491	66.0661177	0	0	0	0	0	0	3
19	8	0	0.312787746	1316.79173	1348.46894	1316.74431	1416.29491	67.8259631	0	0	0	0	0	0	3
20	8	0	0.329250259	1317.04988	1346.89799	1316.74431	1416.29491	69.3969164	0	0	0	0	0	0	3
21	8	0	0.345712772	1317.68188	1345.50675	1316.74431	1416.29491	70.7881599	0	0	0	0	0	0	3
22	9	0	0.362175284	1318.20516	1344.26577	1316.74431	1416.29491	72.029141	0	0	0	0	0	0	3
23	9	0	0.378637797	1319.36378	1343.18307	1316.74431	1416.29491	73.1118359	0	0	0	0	0	0	3
24	9	0	0.39510031	1319.78146	1342.208	1316.74431	1416.29491	74.0869031	0	0	0	0	0	0	3
25	9	0	0.411562823	1320.73347	1341.34902	1316.74431	1416.29491	74.9458844	0	0	0	0	0	0	3
26	10	0	0.428025336	1321.30401	1340.57806	1316.74431	1416.29491	75.7168464	0	0	0	0	0	0	3
27	10	0	0.444487849	1322.03151	1339.89115	1316.74431	1416.29491	76.4037557	0	0	0	0	0	0	3
28	10	0	0.460950362	1322.48294	1339.26943	1316.74431	1416.29491	77.0254775	0	0	0	0	0	0	3
