Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0167476952
2	3	0	0.0334953903
3	3	0	0.0502430855
4	3	0	0.0669907807
5	4	0	0.0837384759
6	4	0	0.100486171
7	4	0	0.117233866
8	4	0	0.133981561
9	5	0	0.150729257
10	5	0	0.167476952
11	5	0	0.184224647
12	5	0	0.200972342
13	6	0	0.217720037
14	6	0	0.234467732
15	6	0	0.251215428
16	6	0	0.267963123
17	7	0	0.284710818
18	7	0	0.301458513
19	7	0	0.318206208
20	7	0	0.334953903
21	8	0	0.351701599
22	8	0	0.368449294
23	8	0	0.385196989
24	9	0	0.401944684
25	9	0	0.418692379
26	9	0	0.435440074
27	9	0	0.45218777
28	10	0	0.468935465
29	10	0	0.48568316
30	10	0	0.502430855
31	10	0	0.51917855
32	11	0	0.535926246
33	11	0	0.552673941
34	11	0	0.569421636
35	11	0	0.586169331
36	12	0	0.602917026
37	12	0	0.619664721
38	12	0	0.636412417
39	13	0	0.653160112
40	13	0	0.669907807
41	13	0	0.686655502
42	13	0	0.703403197
43	14	0	0.720150892
44	14	0	0.736898588
45	14	0	0.753646283
46	15	0	0.770393978
47	15	0	0.787141673
48	15	0	0.803889368
49	15	0	0.820637063
50	16	0	0.837384759
51	16	0	0.854132454
52	16	0	0.870880149
53	17	0	0.887627844
54	17	0	0.904375539
55	17	0	0.921123234
56	18	0	0.93787093
57	18	0	0.954618625
58	18	0	0.97136632
59	18	0	0.988114015
60	19	0	1.00486171
61	19	0	1.02160941
62	19	0	1.0383571
63	20	0	1.0551048
64	20	0	1.07185249
65	20	0	1.08860019
66	21	0	1.10534788
67	21	0	1.12209558
68	21	0	1.13884327
69	22	0	1.15559097
70	22	0	1.17233866
71	22	0	1.18908636
72	23	0	1.20583405
73	23	0	1.22258175
74	23	0	1.23932944
75	24	0	1.25607714
76	24	0	1.27282483
77	25	0	1.28957253
78	25	0	1.30632022
79	25	0	1.32306792
80	26	0	1.33981561
81	26	0	1.35656331
82	26	0	1.373311
83	27	0	1.3900587
84	27	0	1.40680639
85	27	0	1.42355409
86	28	0	1.44030178
87	28	0	1.45704948
88	28	0	1.47379718
89	29	0	1.49054487
90	29	0	1.50729257
91	29	0	1.52404026
92	30	0	1.54078796
93	30	0	1.55753565
94	30	0	1.57428335
95	31	0	1.59103104
96	31	0	1.60777874
97	31	0	1.62452643
98	32	0	1.64127413
99	32	0	1.65802182
100	32	0	1.67476952
101	34	0	1.69151721
102	34	0	1.70826491
103	34	0	1.7250126
104	35	0	1.7417603
105	35	0	1.75850799
106	35	0	1.77525569
107	36	0	1.79200338
108	36	0	1.80875108
109	36	0	1.82549877
110	37	0	1.84224647
111	37	0	1.85899416
112	37	0	1.87574186
113	38	0	1.89248955
114	38	0	1.90923725
115	38	0	1.92598494
116	39	0	1.94273264
