Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0156481154	16.1026149	16.1026149	16.1026149	16.1026149	0	0	0	0	43.9051	0	0	3
2	3	0	0.0312962308	16.1014798	16.1020474	16.1014798	16.1026149	0.000567576547	0	0	0	42.6214	0	0	3
3	3	0	0.0469443462	16.1008112	16.1016353	16.1008112	16.1026149	0.000979642357	0	0	0	41.4736	0	0	3
4	3	0	0.0625924616	16.1003674	16.1013183	16.1003674	16.1026149	0.00129662596	0	0	0	40.8598	0	0	3
5	4	0	0.078240577	16.1001267	16.10108	16.1001267	16.1026149	0.00153494484	0	0	0	40.2589	0	0	3
6	4	0	0.0938886924	16.1003148	16.1009525	16.1001267	16.1026149	0.00166248097	0	0	0	40.6124	0	0	3
7	5	0	0.109536808	16.1010497	16.1009664	16.1001267	16.1026149	0.00166248097	0	0	0	41.7815	0	0	3
8	5	0	0.125184923	16.1022248	16.1011237	16.1001267	16.1026149	0.00166248097	0	0	0	42.6527	0	0	3
9	5	0	0.140833039	16.1036746	16.1014071	16.1001267	16.1036746	0.00166248097	0	0	0	43.2188	0	0	3
10	5	0	0.156481154	16.1053667	16.1018031	16.1001267	16.1053667	0.00166248097	0	0	0	43.5829	0	0	3
11	6	0	0.172129269	16.107722	16.1023411	16.1001267	16.107722	0.00166248097	0	0	0	43.803	0	0	3
12	6	0	0.187777385	16.1101232	16.1029896	16.1001267	16.1101232	0.0020371859	0	0	0	43.8603	0	0	3
13	7	0	0.2034255	16.112159	16.103695	16.1001267	16.112159	0.00274252097	0	0	0	43.8334	0	0	3
14	7	0	0.219073616	16.1139342	16.1044264	16.1001267	16.1139342	0.00347389262	0	0	0	43.7635	0	0	3
15	7	0	0.234721731	16.1153328	16.1051535	16.1001267	16.1153328	0.00420099158	0	0	0	43.7053	0	0	3
16	8	0	0.250369847	16.1166951	16.1058748	16.1001267	16.1166951	0.00492234551	0	0	0	43.5932	0	0	3
17	8	0	0.266017962	16.1177399	16.1065727	16.1001267	16.1177399	0.00562029078	0	0	0	43.4816	0	0	3
18	8	0	0.281666077	16.1184379	16.1072319	16.1001267	16.1184379	0.00627946518	0	0	0	43.3438	0	0	3
19	9	0	0.297314193	16.1190459	16.1078537	16.1001267	16.1190459	0.00690125556	0	0	0	43.2203	0	0	3
20	9	0	0.312962308	16.1195217	16.1084371	16.1001267	16.1195217	0.00748465572	0	0	0	43.0958	0	0	3
21	9	0	0.328610424	16.1200742	16.1089913	16.1001267	16.1200742	0.00803880102	0	0	0	43.0105	0	0	3
22	10	0	0.344258539	16.1203912	16.1095094	16.1001267	16.1203912	0.00855697799	0	0	0	42.9175	0	0	3
23	10	0	0.359906654	16.1208351	16.1100019	16.1001267	16.1208351	0.00904939823	0	0	0	42.8873	0	0	3
24	10	0	0.37555477	16.1208342	16.1104532	16.1001267	16.1208351	0.00950074433	0	0	0	42.823	0	0	3
25	11	0	0.391202885	16.1210444	16.1108769	16.1001267	16.1210444	0.00992439258	0	0	0	42.8012	0	0	3
26	11	0	0.406851001	16.1210779	16.1112692	16.1001267	16.1210779	0.0103167392	0	0	0	42.7788	0	0	3
27	11	0	0.422499116	16.1213597	16.1116429	16.1001267	16.1213597	0.0106904621	0	0	0	43.0542	0	0	3
28	12	0	0.438147231	16.1215506	16.1119968	16.1001267	16.1215506	0.0110443088	0	0	0	43.2609	0	0	3
29	12	0	0.453795347	16.1217771	16.112334	16.1001267	16.1217771	0.0113815602	0	0	0	43.4019	0	0	3
30	12	0	0.469443462	16.1218681	16.1126518	16.1001267	16.1218681	0.0116993633	0	0	0	43.4763	0	0	3
31	13	0	0.485091578	16.1220948	16.1129564	16.1001267	16.1220948	0.0120039753	0	0	0	43.4606	0	0	3
32	13	0	0.500739693	16.1221854	16.1132448	16.1001267	16.1221854	0.0122923796	0	0	0	43.399	0	0	3
33	13	0	0.516387808	16.1223646	16.113862	16.1001267	16.1223646	0.0129095565	0	0	0	43.3226	0	0	3
34	14	0	0.532035924	16.1225396	16.1145201	16.1001267	16.1225396	0.0135676747	0	0	0	43.2401	0	0	3
35	14	0	0.547684039	16.1228441	16.1152087	16.1001267	16.1228441	0.0142562037	0	0	0	43.161	0	0	3
36	14	0	0.563332155	16.1229722	16.1159151	16.1001267	16.1229722	0.0149626037	0	0	0	43.0462	0	0	3
37	15	0	0.57898027	16.123234	16.1166372	16.1003148	16.123234	0.0156847077	0	0	0	42.9978	0	0	3
