Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0175395988	-1468847.68	-1468847.68	-1468847.68	-1468847.68	0	0	0	0	3.03703e+08	0	0	3
2	2	0	0.0350791976	-250556.013	-859701.845	-1468847.68	-250556.013	609145.831	0	0	0	1.84581e+08	0	0	3
3	2	0	0.0526187964	282628.74	-478924.983	-1468847.68	282628.74	989922.693	0	0	0	1.70951e+08	0	0	3
4	2	0	0.0701583952	417077.547	-254924.351	-1468847.68	417077.547	1213923.33	0	0	0	1.22834e+08	0	0	3
5	3	0	0.087697994	415251.536	-120889.173	-1468847.68	417077.547	1347958.5	0	0	0	6.72531e+07	0	0	3
6	3	0	0.105237593	398716.232	-34288.2725	-1468847.68	417077.547	1434559.4	0	0	0	3.4198e+07	0	0	3
7	3	0	0.122777192	384171.283	25491.664	-1468847.68	417077.547	1494339.34	0	0	0	2.15101e+07	0	0	3
8	4	0	0.14031679	378950.861	69674.0636	-1468847.68	417077.547	1538521.74	0	0	0	1.86297e+07	0	0	3
9	4	0	0.157856389	373752.899	103460.601	-1468847.68	417077.547	1572308.28	0	0	0	2.23479e+07	0	0	3
10	4	0	0.175395988	375024.588	130617	-1468847.68	417077.547	1599464.68	0	0	0	2.4806e+07	0	0	3
11	5	0	0.192935587	370166.307	152394.209	-1468847.68	417077.547	1621241.89	0	0	0	2.72269e+07	0	0	3
12	5	0	0.210475186	369160.617	170458.077	-1468847.68	417077.547	1639305.75	0	0	0	2.85036e+07	0	0	3
13	5	0	0.228014784	366972.784	185574.593	-1468847.68	417077.547	1654422.27	0	0	0	2.7697e+07	0	0	3
14	5	0	0.245554383	366743.303	198515.215	-1468847.68	417077.547	1667362.89	0	0	0	2.65665e+07	0	0	3
15	6	0	0.263093982	364454.812	209577.855	-1468847.68	417077.547	1678425.53	0	0	0	2.59112e+07	0	0	3
16	6	0	0.280633581	365776.518	219340.271	-1468847.68	417077.547	1688187.95	0	0	0	2.52434e+07	0	0	3
17	6	0	0.29817318	365302.49	227926.284	-1468847.68	417077.547	1696773.96	0	0	0	2.44991e+07	0	0	3
