Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0166924666	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0333849331	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0500773997	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0667698662	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0834623328	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.100154799	0	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.116847266	0	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.133539732	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.150232199	0	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.166924666	0	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.183617132	0	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.200309599	0	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.217002065	0	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.233694532	0	0	0	0	0	0	0	0	0	0	0	3
15	6	0	0.250386998	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.267079465	0	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.283771931	0	0	0	0	0	0	0	0	0	0	0	3
18	7	0	0.300464398	0	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.317156865	0	0	0	0	0	0	0	0	0	0	0	3
20	8	0	0.333849331	0	0	0	0	0	0	0	0	0	0	0	3
21	8	0	0.350541798	0	0	0	0	0	0	0	0	0	0	0	3
22	8	0	0.367234264	0	0	0	0	0	0	0	0	0	0	0	3
23	9	0	0.383926731	0	0	0	0	0	0	0	0	0	0	0	3
24	9	0	0.400619197	0	0	0	0	0	0	0	0	0	0	0	3
25	9	0	0.417311664	0	0	0	0	0	0	0	0	0	0	0	3
26	10	0	0.434004131	0	0	0	0	0	0	0	0	0	0	0	3
27	10	0	0.450696597	0	0	0	0	0	0	0	0	0	0	0	3
28	10	0	0.467389064	0	0	0	0	0	0	0	0	0	0	0	3
29	10	0	0.48408153	0	0	0	0	0	0	0	0	0	0	0	3
30	11	0	0.500773997	0	0	0	0	0	0	0	0	0	0	0	3
31	11	0	0.517466463	0	0	0	0	0	0	0	0	0	0	0	3
32	11	0	0.53415893	0	0	0	0	0	0	0	0	0	0	0	3
33	12	0	0.550851396	0	0	0	0	0	0	0	0	0	0	0	3
34	12	0	0.567543863	0	0	0	0	0	0	0	0	0	0	0	3
35	12	0	0.58423633	0	0	0	0	0	0	0	0	0	0	0	3
36	13	0	0.600928796	0	0	0	0	0	0	0	0	0	0	0	3
37	13	0	0.617621263	0	0	0	0	0	0	0	0	0	0	0	3
38	13	0	0.634313729	0	0	0	0	0	0	0	0	0	0	0	3
39	13	0	0.651006196	0	0	0	0	0	0	0	0	0	0	0	3
40	14	0	0.667698662	0	0	0	0	0	0	0	0	0	0	0	3
41	14	0	0.684391129	0	0	0	0	0	0	0	0	0	0	0	3
42	14	0	0.701083595	0	0	0	0	0	0	0	0	0	0	0	3
43	15	0	0.717776062	0	0	0	0	0	0	0	0	0	0	0	3
44	15	0	0.734468529	0	0	0	0	0	0	0	0	0	0	0	3
45	15	0	0.751160995	0	0	0	0	0	0	0	0	0	0	0	3
46	16	0	0.767853462	0	0	0	0	0	0	0	0	0	0	0	3
47	16	0	0.784545928	0	0	0	0	0	0	0	0	0	0	0	3
48	16	0	0.801238395	0	0	0	0	0	0	0	0	0	0	0	3
49	16	0	0.817930861	0	0	0	0	0	0	0	0	0	0	0	3
50	17	0	0.834623328	0	0	0	0	0	0	0	0	0	0	0	3
51	17	0	0.851315794	0	0	0	0	0	0	0	0	0	0	0	3
52	17	0	0.868008261	0	0	0	0	0	0	0	0	0	0	0	3
53	18	0	0.884700728	0	0	0	0	0	0	0	0	0	0	0	3
54	18	0	0.901393194	0	0	0	0	0	0	0	0	0	0	0	3
