Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0168277559	-1.37731352e+10	-1.37731352e+10	-1.37731352e+10	-1.37731352e+10	0	0	0	0	4.34328e+10	0	0	3
2	3	0	0.0336555119	-2.99646217e+10	-2.18688784e+10	-2.99646217e+10	-1.37731352e+10	8.09574327e+09	0	0	0	6.1201e+10	0	0	3
3	3	0	0.0504832678	-4.23185964e+10	-2.86854511e+10	-4.23185964e+10	-1.37731352e+10	1.49123159e+10	0	0	0	7.1384e+10	0	0	3
4	3	0	0.0673110238	-5.36427763e+10	-3.49247824e+10	-5.36427763e+10	-1.37731352e+10	2.11516472e+10	0	0	0	8.10179e+10	0	0	3
5	4	0	0.0841387797	-5.82448636e+10	-3.95887986e+10	-5.82448636e+10	-1.37731352e+10	2.58156635e+10	0	0	0	8.33829e+10	0	0	3
6	4	0	0.100966536	-5.72228153e+10	-4.25278014e+10	-5.82448636e+10	-1.37731352e+10	2.87546662e+10	0	0	0	7.83721e+10	0	0	3
7	4	0	0.117794292	-5.33498739e+10	-4.40738117e+10	-5.82448636e+10	-1.37731352e+10	3.03006766e+10	0	0	0	7.15219e+10	0	0	3
8	4	0	0.134622048	-4.64650511e+10	-4.43727167e+10	-5.82448636e+10	-1.37731352e+10	3.05995815e+10	0	0	0	6.23139e+10	0	0	3
9	5	0	0.151449803	-3.65590566e+10	-4.35045322e+10	-5.82448636e+10	-1.37731352e+10	3.05995815e+10	0	0	0	4.97833e+10	0	0	3
10	5	0	0.168277559	-2.49890078e+10	-4.16529798e+10	-5.82448636e+10	-1.37731352e+10	3.05995815e+10	0	0	0	3.96145e+10	0	0	3
11	5	0	0.185105315	-1.8810481e+10	-3.9576389e+10	-5.82448636e+10	-1.37731352e+10	3.05995815e+10	0	0	0	3.59664e+10	0	0	3
12	5	0	0.201933071	-1.54215051e+10	-3.7563482e+10	-5.82448636e+10	-1.37731352e+10	3.05995815e+10	0	0	0	3.27659e+10	0	0	3
13	5	0	0.218760827	-1.15614781e+10	-3.55633278e+10	-5.82448636e+10	-1.15614781e+10	3.05995815e+10	0	0	0	3.92331e+10	0	0	3
14	6	0	0.235588583	-9.65529294e+09	-3.37127539e+10	-5.82448636e+10	-9.65529294e+09	3.05995815e+10	0	0	0	4.02673e+10	0	0	3
15	6	0	0.252416339	-7.63500235e+09	-3.19742372e+10	-5.82448636e+10	-7.63500235e+09	3.05995815e+10	0	0	0	4.18302e+10	0	0	3
16	6	0	0.269244095	-5.11383094e+09	-3.02954618e+10	-5.82448636e+10	-5.11383094e+09	3.05995815e+10	0	0	0	4.02378e+10	0	0	3
17	6	0	0.286071851	-4.03398767e+09	-2.87506692e+10	-5.82448636e+10	-4.03398767e+09	3.05995815e+10	0	0	0	4.1378e+10	0	0	3
18	7	0	0.302899607	-4.26732458e+09	-2.73904834e+10	-5.82448636e+10	-4.03398767e+09	3.05995815e+10	0	0	0	4.01315e+10	0	0	3
