Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0168277559	-6.112721e-05	-6.112721e-05	-6.112721e-05	-6.112721e-05	0	0	0	0	0	0	0	3
2	3	0	0.0336555119	-2.79987035e-06	-3.19635402e-05	-6.112721e-05	-2.79987035e-06	2.91636698e-05	0	0	0	0	0	0	3
3	3	0	0.0504832678	4.15612462e-06	-1.99236519e-05	-6.112721e-05	4.15612462e-06	4.12035581e-05	0	0	0	0	0	0	3
4	3	0	0.0673110238	3.74510106e-06	-1.40064637e-05	-6.112721e-05	4.15612462e-06	4.71207463e-05	0	0	0	0	0	0	3
5	4	0	0.0841387797	5.54704191e-07	-1.10942301e-05	-6.112721e-05	4.15612462e-06	5.00329799e-05	0	0	0	0	0	0	3
6	4	0	0.100966536	-4.49568846e-07	-9.32011989e-06	-6.112721e-05	4.15612462e-06	5.18070901e-05	0	0	0	0	0	0	3
7	4	0	0.117794292	-1.9652156e-06	-8.26941928e-06	-6.112721e-05	4.15612462e-06	5.28577907e-05	0	0	0	0	0	0	3
8	4	0	0.134622048	-5.28153098e-06	-7.89593324e-06	-6.112721e-05	4.15612462e-06	5.32312768e-05	0	0	0	0	0	0	3
9	5	0	0.151449803	-4.7110356e-06	-7.54205572e-06	-6.112721e-05	4.15612462e-06	5.35851543e-05	0	0	0	0	0	0	3
10	5	0	0.168277559	-6.15877327e-07	-6.84943788e-06	-6.112721e-05	4.15612462e-06	5.42777721e-05	0	0	0	0	0	0	3
11	5	0	0.185105315	1.67506503e-06	-6.07448307e-06	-6.112721e-05	4.15612462e-06	5.50527269e-05	0	0	0	0	0	0	3
12	5	0	0.201933071	-1.54803677e-06	-5.69727921e-06	-6.112721e-05	4.15612462e-06	5.54299308e-05	0	0	0	0	0	0	3
13	5	0	0.218760827	3.24274969e-06	-5.00958468e-06	-6.112721e-05	4.15612462e-06	5.61176253e-05	0	0	0	0	0	0	3
14	6	0	0.235588583	4.95361895e-06	-4.29792728e-06	-6.112721e-05	4.95361895e-06	5.68292827e-05	0	0	0	0	0	0	3
15	6	0	0.252416339	-4.35816022e-06	-4.30194281e-06	-6.112721e-05	4.95361895e-06	5.68292827e-05	0	0	0	0	0	0	3
16	6	0	0.269244095	3.2326878e-06	-3.8310284e-06	-6.112721e-05	4.95361895e-06	5.72961816e-05	0	0	0	0	0	0	3
17	6	0	0.286071851	-2.92247523e-06	-3.77758409e-06	-6.112721e-05	4.95361895e-06	5.73496259e-05	0	0	0	0	0	0	3
18	7	0	0.302899607	-7.25630231e-06	-3.97084622e-06	-6.112721e-05	4.95361895e-06	5.73496259e-05	0	0	0	0	0	0	3
19	7	0	0.319727363	8.70502657e-06	-3.30369502e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
20	7	0	0.336555119	-4.63023347e-06	-3.37002194e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
21	7	0	0.353382875	-4.95582412e-06	-3.44553633e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
22	8	0	0.370210631	-1.27790187e-05	-3.86978553e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
23	8	0	0.387038387	-2.52934196e-06	-3.81150537e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
24	8	0	0.403866143	-9.25586705e-06	-4.03835378e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
25	8	0	0.420693898	-7.96298394e-06	-4.19533898e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
26	8	0	0.437521654	-1.35814585e-05	-4.55634358e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
27	9	0	0.45434941	-2.32055621e-05	-5.24705538e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
28	9	0	0.471177166	-1.96511044e-05	-5.7614857e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
29	9	0	0.488004922	-4.69004593e-06	-5.7245395e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
30	9	0	0.504832678	-2.24588799e-06	-5.60858445e-06	-6.112721e-05	8.70502657e-06	5.7823515e-05	0	0	0	0	0	0	3
31	10	0	0.521660434	1.23519319e-06	-3.52983768e-06	-2.32055621e-05	8.70502657e-06	2.86598452e-05	0	0	0	0	0	0	3
32	10	0	0.53848819	1.74337806e-05	-2.85538265e-06	-2.32055621e-05	1.74337806e-05	1.70682693e-05	0	0	0	0	0	0	3
