Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0168277559	-313119.366	-313119.366	-313119.366	-313119.366	0	0	0	0	4.34191e+10	0	0	3
2	3	0	0.0336555119	-514451.025	-413785.196	-514451.025	-313119.366	100665.83	0	0	0	6.11535e+10	0	0	3
3	3	0	0.0504832678	-756581.64	-528050.677	-756581.64	-313119.366	214931.311	0	0	0	7.12739e+10	0	0	3
4	3	0	0.0673110238	-1012475.02	-649156.763	-1012475.02	-313119.366	336037.398	0	0	0	8.081e+10	0	0	3
5	4	0	0.0841387797	-1159712.8	-751267.971	-1159712.8	-313119.366	438148.605	0	0	0	8.30458e+10	0	0	3
6	4	0	0.100966536	-1142098.33	-816406.364	-1159712.8	-313119.366	503286.998	0	0	0	7.76687e+10	0	0	3
7	4	0	0.117794292	-1034167	-847515.026	-1159712.8	-313119.366	534395.66	0	0	0	7.0578e+10	0	0	3
8	4	0	0.134622048	-822266.471	-844358.957	-1159712.8	-313119.366	534395.66	0	0	0	6.10491e+10	0	0	3
9	5	0	0.151449803	-488562.294	-804825.994	-1159712.8	-313119.366	534395.66	0	0	0	4.84981e+10	0	0	3
10	5	0	0.168277559	-7601.90262	-725103.585	-1159712.8	-7601.90262	534395.66	0	0	0	3.84353e+10	0	0	3
11	5	0	0.185105315	225114.772	-638720.098	-1159712.8	225114.772	534395.66	0	0	0	3.42902e+10	0	0	3
12	5	0	0.201933071	374076.276	-554320.4	-1159712.8	374076.276	534395.66	0	0	0	3.19249e+10	0	0	3
13	5	0	0.218760827	663339.008	-460654.292	-1159712.8	663339.008	534395.66	0	0	0	3.86114e+10	0	0	3
14	6	0	0.235588583	367608.175	-401492.687	-1159712.8	663339.008	534395.66	0	0	0	3.96345e+10	0	0	3
15	6	0	0.252416339	499734.892	-341410.849	-1159712.8	663339.008	534395.66	0	0	0	4.12026e+10	0	0	3
16	6	0	0.269244095	527919.802	-287077.683	-1159712.8	663339.008	560437.343	0	0	0	3.95192e+10	0	0	3
17	6	0	0.286071851	589306.623	-235525.665	-1159712.8	663339.008	611989.361	0	0	0	4.06441e+10	0	0	3
18	7	0	0.302899607	486707.797	-195401.584	-1159712.8	663339.008	652113.443	0	0	0	3.94214e+10	0	0	3
19	7	0	0.319727363	464834.167	-160652.334	-1159712.8	663339.008	686862.693	0	0	0	3.8954e+10	0	0	3
20	7	0	0.336555119	334412.694	-135899.082	-1159712.8	663339.008	711615.944	0	0	0	3.83943e+10	0	0	3
21	7	0	0.353382875	306496.423	-114832.63	-1159712.8	663339.008	732682.397	0	0	0	3.7402e+10	0	0	3
22	8	0	0.370210631	278389.719	-96958.8867	-1159712.8	663339.008	750556.14	0	0	0	3.60799e+10	0	0	3
