#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1734809,212.00,-0.59,
1734860,211.00,-0.70,
1734912,211.00,-0.70,
1734963,213.00,-0.47,
1735013,213.00,-0.47,
1735065,212.00,-0.59,
1735116,211.00,-0.70,
1735168,212.00,-0.59,
1735219,212.00,-0.59,
1735269,212.00,-0.59,
1735320,213.00,-0.47,
1735372,212.00,-0.59,
1735422,211.00,-0.70,
1735475,211.00,-0.70,
1735526,212.00,-0.59,
1735576,212.00,-0.59,
1735627,212.00,-0.59,
1735680,211.00,-0.70,
1735730,213.00,-0.47,
1735782,212.00,-0.59,
1735832,212.00,-0.59,
1735884,212.00,-0.59,
1735936,212.00,-0.59,
1735987,211.00,-0.70,
1736037,211.00,-0.70,
1736088,210.00,-0.82,
1736140,211.00,-0.70,
1736190,212.00,-0.59,
1736242,213.00,-0.47,
1736294,212.00,-0.59,
1736345,213.00,-0.47,
1736396,211.00,-0.70,
1736446,212.00,-0.59,
1736499,212.00,-0.59,
1736549,212.00,-0.59,
1736601,212.00,-0.59,
1736652,212.00,-0.59,
1736702,211.00,-0.70,
1736754,212.00,-0.59,
1736805,212.00,-0.59,
1736856,212.00,-0.59,
1736908,211.00,-0.70,
1736960,212.00,-0.59,
1737011,212.00,-0.59,
1737062,212.00,-0.59,
1737113,211.00,-0.70,
1737164,213.00,-0.47,
1737216,211.00,-0.70,
1737267,211.00,-0.70,
1737317,211.00,-0.70,
1737369,213.00,-0.47,
1737419,213.00,-0.47,
1737472,212.00,-0.59,
1737523,212.00,-0.59,
1737574,211.00,-0.70,
1737624,279.00,7.13,
1737676,309.00,10.58,
1737726,368.00,17.38,
1737779,386.00,19.45,
1737829,400.00,21.06,
1737881,402.00,21.29,
1737931,390.00,19.91,
1737984,381.00,18.88,
1738035,385.00,19.34,
1738085,392.00,20.14,
1738137,393.00,20.26,
1738188,387.00,19.57,
1738240,386.00,19.45,
1738290,388.00,19.68,
1738342,387.00,19.57,
1738393,388.00,19.68,
1738444,387.00,19.57,
1738496,387.00,19.57,
1738546,390.00,19.91,
1738598,389.00,19.80,
1738648,388.00,19.68,
1738700,389.00,19.80,
1738752,387.00,19.57,
1738803,387.00,19.57,
1738854,388.00,19.68,
1738904,390.00,19.91,
1738955,389.00,19.80,
1739008,387.00,19.57,
1739058,389.00,19.80,
1739109,388.00,19.68,
1739160,390.00,19.91,
1739212,387.00,19.57,
1739264,387.00,19.57,
1739315,385.00,19.34,
1739365,389.00,19.80,
1739417,388.00,19.68,
1739468,389.00,19.80,
1739518,386.00,19.45,
1739570,387.00,19.57,
1739621,391.00,20.03,
1739673,390.00,19.91,
1739723,389.00,19.80,
1739776,387.00,19.57,
1739826,390.00,19.91,
1739877,388.00,19.68,
1739929,391.00,20.03,
1739979,388.00,19.68,
1740032,388.00,19.68,
1740083,388.00,19.68,
1740133,388.00,19.68,
1740185,389.00,19.80,
1740236,387.00,19.57,
1740286,386.00,19.45,
1740339,388.00,19.68,
1740390,389.00,19.80,
1740441,387.00,19.57,
1740491,388.00,19.68,
1740544,387.00,19.57,
1740595,388.00,19.68,
1740646,389.00,19.80,
1740697,389.00,19.80,
1740748,387.00,19.57,
1740800,387.00,19.57,
1740851,386.00,19.45,
1740901,387.00,19.57,
1740953,388.00,19.68,
1741004,389.00,19.80,
1741056,389.00,19.80,
1741107,386.00,19.45,
1741158,389.00,19.80,
1741209,388.00,19.68,
1741260,385.00,19.34,
1741312,386.00,19.45,
1741363,387.00,19.57,
1741414,387.00,19.57,
1741465,384.00,19.22,
1741516,387.00,19.57,
1741568,386.00,19.45,
1741619,389.00,19.80,
1741670,387.00,19.57,
1741720,386.00,19.45,
1741772,385.00,19.34,
1741824,391.00,20.03,
1741874,386.00,19.45,
1741926,387.00,19.57,
1741976,387.00,19.57,
1742027,390.00,19.91,
1742080,386.00,19.45,
1742131,385.00,19.34,
1742181,387.00,19.57,
1742232,385.00,19.34,
1742284,385.00,19.34,
1742334,387.00,19.57,
1742387,384.00,19.22,
1742438,384.00,19.22,
1742488,385.00,19.34,
1742540,386.00,19.45,
1742592,383.00,19.11,
1742642,386.00,19.45,
1742694,387.00,19.57,
1742744,384.00,19.22,
1742796,385.00,19.34,
1742848,386.00,19.45,
1742898,386.00,19.45,
1742949,386.00,19.45,
1743000,387.00,19.57,
1743052,385.00,19.34,
1743104,385.00,19.34,
1743154,385.00,19.34,
1743205,386.00,19.45,
1743256,385.00,19.34,
1743308,387.00,19.57,
1743360,385.00,19.34,
1743411,384.00,19.22,
1743462,386.00,19.45,
1743513,386.00,19.45,
1743563,384.00,19.22,
1743616,386.00,19.45,
1743666,389.00,19.80,
1743717,387.00,19.57,
1743769,384.00,19.22,
1743819,383.00,19.11,
1743870,387.00,19.57,
1743923,386.00,19.45,
1743974,387.00,19.57,
1744024,383.00,19.11,
1744075,387.00,19.57,
1744126,385.00,19.34,
1744178,384.00,19.22,
1744230,385.00,19.34,
1744281,386.00,19.45,
1744332,386.00,19.45,
1744382,384.00,19.22,
1744435,384.00,19.22,
1744485,384.00,19.22,
1744537,385.00,19.34,
1744587,385.00,19.34,
1744640,384.00,19.22,
1744690,383.00,19.11,
