#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
890571,212.00,-0.59,
890624,213.00,-0.47,
890675,212.00,-0.59,
890726,213.00,-0.47,
890776,213.00,-0.47,
890827,211.00,-0.70,
890880,264.00,5.40,
890930,281.00,7.36,
890982,357.00,16.11,
891033,423.00,23.71,
891084,447.00,26.48,
891134,454.00,27.28,
891186,443.00,26.02,
891238,428.00,24.29,
891289,421.00,23.48,
891339,434.00,24.98,
891392,438.00,25.44,
891442,432.00,24.75,
891494,428.00,24.29,
891544,426.00,24.06,
891595,428.00,24.29,
891648,431.00,24.63,
891699,430.00,24.52,
891749,430.00,24.52,
891800,429.00,24.40,
891851,432.00,24.75,
891902,431.00,24.63,
891954,437.00,25.33,
892005,434.00,24.98,
892057,435.00,25.09,
892108,430.00,24.52,
892158,430.00,24.52,
892211,430.00,24.52,
892261,429.00,24.40,
892312,432.00,24.75,
892364,434.00,24.98,
892416,434.00,24.98,
892467,432.00,24.75,
892517,434.00,24.98,
892568,430.00,24.52,
892619,429.00,24.40,
892670,431.00,24.63,
892723,433.00,24.86,
892773,429.00,24.40,
892824,430.00,24.52,
892875,429.00,24.40,
892928,430.00,24.52,
892978,430.00,24.52,
893030,428.00,24.29,
893081,430.00,24.52,
893132,432.00,24.75,
893182,433.00,24.86,
893235,429.00,24.40,
893286,426.00,24.06,
893337,431.00,24.63,
893388,432.00,24.75,
893440,429.00,24.40,
893491,434.00,24.98,
893541,431.00,24.63,
893592,428.00,24.29,
893643,431.00,24.63,
893694,433.00,24.86,
893747,433.00,24.86,
893798,428.00,24.29,
893849,431.00,24.63,
893900,431.00,24.63,
893950,433.00,24.86,
894002,432.00,24.75,
894053,430.00,24.52,
894104,431.00,24.63,
894155,427.00,24.17,
894206,428.00,24.29,
894258,426.00,24.06,
894309,429.00,24.40,
894361,430.00,24.52,
894411,429.00,24.40,
894464,431.00,24.63,
894515,430.00,24.52,
894565,427.00,24.17,
894616,428.00,24.29,
894667,430.00,24.52,
894720,430.00,24.52,
894771,427.00,24.17,
894821,429.00,24.40,
894872,427.00,24.17,
894924,432.00,24.75,
894976,428.00,24.29,
895026,429.00,24.40,
895078,426.00,24.06,
895129,428.00,24.29,
895179,430.00,24.52,
895230,428.00,24.29,
895282,428.00,24.29,
895333,424.00,23.83,
895384,429.00,24.40,
895435,426.00,24.06,
895486,428.00,24.29,
895539,428.00,24.29,
895590,432.00,24.75,
895641,428.00,24.29,
895692,432.00,24.75,
895744,432.00,24.75,
895795,430.00,24.52,
895845,428.00,24.29,
895897,429.00,24.40,
895948,429.00,24.40,
896000,430.00,24.52,
896050,432.00,24.75,
896102,428.00,24.29,
896153,429.00,24.40,
896204,430.00,24.52,
896256,428.00,24.29,
896306,429.00,24.40,
896358,431.00,24.63,
896408,431.00,24.63,
896459,432.00,24.75,
896512,435.00,25.09,
896562,429.00,24.40,
896613,427.00,24.17,
896665,431.00,24.63,
896716,430.00,24.52,
896768,430.00,24.52,
896819,430.00,24.52,
896870,434.00,24.98,
896921,432.00,24.75,
896972,429.00,24.40,
897024,431.00,24.63,
897074,430.00,24.52,
897126,430.00,24.52,
897176,429.00,24.40,
897228,430.00,24.52,
897280,434.00,24.98,
897330,429.00,24.40,
897382,429.00,24.40,
897432,430.00,24.52,
897484,431.00,24.63,
897536,431.00,24.63,
897587,428.00,24.29,
897637,431.00,24.63,
897688,428.00,24.29,
897739,428.00,24.29,
897790,432.00,24.75,
897843,431.00,24.63,
897893,429.00,24.40,
897945,429.00,24.40,
897996,428.00,24.29,
898046,431.00,24.63,
898099,432.00,24.75,
898150,432.00,24.75,
898201,427.00,24.17,
898252,427.00,24.17,
898302,426.00,24.06,
898355,427.00,24.17,
898406,426.00,24.06,
898457,431.00,24.63,
898508,427.00,24.17,
898560,428.00,24.29,
898611,430.00,24.52,
898661,430.00,24.52,
898713,430.00,24.52,
898764,430.00,24.52,
898816,431.00,24.63,
898866,434.00,24.98,
898917,429.00,24.40,
898968,432.00,24.75,
899020,432.00,24.75,
899072,431.00,24.63,
899123,432.00,24.75,
899173,436.00,25.21,
899224,436.00,25.21,
899276,435.00,25.09,
899326,430.00,24.52,
899378,429.00,24.40,
899430,428.00,24.29,
899481,429.00,24.40,
899532,431.00,24.63,
899584,428.00,24.29,
899635,427.00,24.17,
899686,427.00,24.17,
899736,431.00,24.63,
899788,434.00,24.98,
899838,428.00,24.29,
899890,431.00,24.63,
899941,432.00,24.75,
899993,432.00,24.75,
