#!	Workbook:	Custom	Custom
#!	To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.		
#!	For more information visit http://aka.ms/hackingstem/		
158411	211	-0.7	
158464	212	-0.59	
158515	211	-0.7	3
158565	212	-0.59	
158617	212	-0.59	
158667	211	-0.7	
158720	213	-0.47	
158770	212	-0.59	
158822	211	-0.7	
158873	213	-0.47	
158924	212	-0.59	
158974	212	-0.59	
159026	211	-0.7	
159077	214	-0.36	
159128	212	-0.59	
159180	212	-0.59	
159232	212	-0.59	
159282	212	-0.59	
159333	211	-0.7	
159384	212	-0.59	
159435	212	-0.59	
159486	213	-0.47	
159538	211	-0.7	
159589	211	-0.7	
159641	212	-0.59	
159692	212	-0.59	
159742	211	-0.7	
159795	212	-0.59	
159846	212	-0.59	
159896	212	-0.59	
159947	211	-0.7	
159998	211	-0.7	
160050	212	-0.59	
160102	212	-0.59	
160153	210	-0.82	
160203	211	-0.7	
160256	214	-0.36	
160306	211	-0.7	
160357	212	-0.59	
160409	211	-0.7	
160460	212	-0.59	
160512	211	-0.7	
160563	212	-0.59	
160614	212	-0.59	
160665	211	-0.7	
160716	211	-0.7	
160766	211	-0.7	
160818	213	-0.47	
160869	212	-0.59	
160921	213	-0.47	
160972	212	-0.59	
161024	212	-0.59	
161074	211	-0.7	
161126	212	-0.59	
161177	212	-0.59	
161228	212	-0.59	
161280	212	-0.59	
161330	212	-0.59	
161381	212	-0.59	
161432	214	-0.36	
161484	212	-0.59	
161536	212	-0.59	
161587	212	-0.59	
161638	212	-0.59	
161688	213	-0.47	
161739	212	-0.59	
161790	212	-0.59	
161842	212	-0.59	
161893	212	-0.59	
161945	213	-0.47	
161995	212	-0.59	
162046	211	-0.7	
162098	212	-0.59	
162149	212	-0.59	
162201	212	-0.59	
162251	212	-0.59	
162302	211	-0.7	
162355	212	-0.59	
162406	212	-0.59	
162456	212	-0.59	
162508	210	-0.82	
162558	212	-0.59	
162611	214	-0.36	
162661	212	-0.59	
162713	211	-0.7	
162764	211	-0.7	
162816	211	-0.7	
162867	212	-0.59	
162918	212	-0.59	
162969	211	-0.7	
163020	212	-0.59	
163072	213	-0.47	
163122	211	-0.7	
163173	211	-0.7	
163225	211	-0.7	
163275	212	-0.59	
163326	212	-0.59	
163378	212	-0.59	
163429	212	-0.59	
163481	212	-0.59	
163532	212	-0.59	
163582	211	-0.7	
163634	212	-0.59	
163685	209	-0.93	
163737	211	-0.7	
163788	212	-0.59	
163840	212	-0.59	
163891	212	-0.59	
163942	211	-0.7	
163993	210	-0.82	
164044	213	-0.47	
164096	211	-0.7	
164146	212	-0.59	
164198	212	-0.59	
164249	211	-0.7	
164300	211	-0.7	
164352	211	-0.7	
164403	212	-0.59	
164453	211	-0.7	
164504	212	-0.59	
164555	212	-0.59	
164606	212	-0.59	
164659	211	-0.7	
164710	211	-0.7	
164761	211	-0.7	
164812	212	-0.59	
164864	211	-0.7	
164915	211	-0.7	
164966	213	-0.47	
165016	212	-0.59	
165068	212	-0.59	
165120	212	-0.59	
165170	211	-0.7	
165221	212	-0.59	
165272	212	-0.59	
165323	212	-0.59	
165374	213	-0.47	
165426	212	-0.59	
165478	211	-0.7	
165528	213	-0.47	
165580	211	-0.7	
165632	213	-0.47	
165682	212	-0.59	
165734	211	-0.7	
165785	212	-0.59	
165836	211	-0.7	
165886	212	-0.59	
165939	210	-0.82	
165990	212	-0.59	
166041	212	-0.59	
166092	211	-0.7	
166144	213	-0.47	
166194	212	-0.59	
166245	212	-0.59	
166297	212	-0.59	
166348	212	-0.59	
166400	212	-0.59	
166451	211	-0.7	
