#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
2275225,212.00,-0.59,
2275275,212.00,-0.59,
2275328,211.00,-0.70,
2275379,211.00,-0.70,
2275429,213.00,-0.47,
2275481,211.00,-0.70,
2275531,212.00,-0.59,
2275582,211.00,-0.70,
2275635,213.00,-0.47,
2275685,211.00,-0.70,
2275736,213.00,-0.47,
2275787,212.00,-0.59,
2275840,211.00,-0.70,
2275890,213.00,-0.47,
2275942,211.00,-0.70,
2275992,212.00,-0.59,
2276044,212.00,-0.59,
2276096,212.00,-0.59,
2276146,212.00,-0.59,
2276197,211.00,-0.70,
2276248,210.00,-0.82,
2276300,225.00,0.91,
2276352,247.00,3.44,
2276402,273.00,6.44,
2276454,294.00,8.86,
2276504,292.00,8.63,
2276556,291.00,8.51,
2276608,293.00,8.74,
2276658,289.00,8.28,
2276710,286.00,7.94,
2276760,291.00,8.51,
2276811,291.00,8.51,
2276862,292.00,8.63,
2276915,287.00,8.05,
2276965,290.00,8.40,
2277016,289.00,8.28,
2277067,291.00,8.51,
2277118,291.00,8.51,
2277170,289.00,8.28,
2277221,292.00,8.63,
2277272,290.00,8.40,
2277324,291.00,8.51,
2277376,292.00,8.63,
2277427,291.00,8.51,
2277477,290.00,8.40,
2277528,289.00,8.28,
2277580,290.00,8.40,
2277632,289.00,8.28,
2277682,290.00,8.40,
2277733,291.00,8.51,
2277784,291.00,8.51,
2277836,292.00,8.63,
2277888,291.00,8.51,
2277939,292.00,8.63,
2277990,293.00,8.74,
2278040,290.00,8.40,
2278091,291.00,8.51,
2278142,292.00,8.63,
2278194,291.00,8.51,
2278246,292.00,8.63,
2278297,290.00,8.40,
2278348,291.00,8.51,
2278400,291.00,8.51,
2278450,291.00,8.51,
2278501,290.00,8.40,
2278552,291.00,8.51,
2278604,291.00,8.51,
2278656,292.00,8.63,
2278707,290.00,8.40,
2278758,292.00,8.63,
2278809,289.00,8.28,
2278859,289.00,8.28,
2278910,289.00,8.28,
2278963,291.00,8.51,
2279014,293.00,8.74,
2279065,291.00,8.51,
2279116,292.00,8.63,
2279166,291.00,8.51,
2279218,290.00,8.40,
2279270,291.00,8.51,
2279321,291.00,8.51,
2279371,290.00,8.40,
2279424,289.00,8.28,
2279475,289.00,8.28,
2279526,291.00,8.51,
2279577,291.00,8.51,
2279628,290.00,8.40,
2279678,290.00,8.40,
2279730,290.00,8.40,
2279782,289.00,8.28,
2279833,290.00,8.40,
2279884,291.00,8.51,
2279934,291.00,8.51,
2279986,292.00,8.63,
2280037,291.00,8.51,
2280088,291.00,8.51,
2280139,292.00,8.63,
2280192,291.00,8.51,
2280243,291.00,8.51,
2280294,294.00,8.86,
2280344,290.00,8.40,
2280396,292.00,8.63,
2280448,292.00,8.63,
2280499,291.00,8.51,
2280549,290.00,8.40,
2280601,290.00,8.40,
2280652,290.00,8.40,
2280702,290.00,8.40,
2280754,291.00,8.51,
2280805,290.00,8.40,
2280857,292.00,8.63,
2280908,289.00,8.28,
2280960,290.00,8.40,
2281010,290.00,8.40,
2281061,292.00,8.63,
2281113,290.00,8.40,
2281164,292.00,8.63,
2281216,291.00,8.51,
2281266,291.00,8.51,
2281317,291.00,8.51,
2281369,290.00,8.40,
2281420,292.00,8.63,
2281470,290.00,8.40,
2281522,292.00,8.63,
2281573,292.00,8.63,
2281625,291.00,8.51,
2281676,291.00,8.51,
2281728,291.00,8.51,
2281778,292.00,8.63,
2281829,291.00,8.51,
2281881,290.00,8.40,
2281932,291.00,8.51,
2281984,291.00,8.51,
2282035,288.00,8.17,
2282085,289.00,8.28,
2282136,291.00,8.51,
2282188,289.00,8.28,
2282238,290.00,8.40,
2282290,291.00,8.51,
2282341,291.00,8.51,
2282393,289.00,8.28,
2282444,291.00,8.51,
2282494,290.00,8.40,
2282546,291.00,8.51,
2282597,291.00,8.51,
2282649,290.00,8.40,
2282700,290.00,8.40,
2282752,289.00,8.28,
2282802,293.00,8.74,
2282853,292.00,8.63,
2282905,291.00,8.51,
2282956,288.00,8.17,
2283008,291.00,8.51,
2283058,291.00,8.51,
2283109,293.00,8.74,
2283161,289.00,8.28,
2283212,289.00,8.28,
2283264,290.00,8.40,
2283315,291.00,8.51,
2283366,291.00,8.51,
2283416,289.00,8.28,
2283467,289.00,8.28,
2283518,292.00,8.63,
2283570,289.00,8.28,
2283622,290.00,8.40,
2283673,290.00,8.40,
2283724,290.00,8.40,
2283774,290.00,8.40,
2283826,290.00,8.40,
2283877,292.00,8.63,
2283928,289.00,8.28,
2283980,289.00,8.28,
2284032,289.00,8.28,
2284083,289.00,8.28,
2284134,289.00,8.28,
2284184,290.00,8.40,
2284235,290.00,8.40,
2284288,292.00,8.63,
2284339,289.00,8.28,
2284390,289.00,8.28,
2284441,291.00,8.51,
2284491,291.00,8.51,
2284542,290.00,8.40,
2284595,290.00,8.40,
2284646,290.00,8.40,
2284697,288.00,8.17,
2284748,290.00,8.40,
2284798,291.00,8.51,
2284851,290.00,8.40,
2284902,290.00,8.40,
2284953,291.00,8.51,
2285004,289.00,8.28,
2285054,288.00,8.17,
2285107,290.00,8.40,
2285157,289.00,8.28,
2285208,289.00,8.28,
2285259,290.00,8.40,
2285312,288.00,8.17,
2285363,289.00,8.28,
2285414,289.00,8.28,
2285464,291.00,8.51,
2285515,288.00,8.17,
2285566,291.00,8.51,
2285618,290.00,8.40,
2285669,288.00,8.17,
2285720,289.00,8.28,
2285772,290.00,8.40,
2285824,288.00,8.17,
2285875,290.00,8.40,
2285925,291.00,8.51,
2285976,290.00,8.40,
2286027,290.00,8.40,
2286080,289.00,8.28,
2286131,290.00,8.40,
2286182,289.00,8.28,
2286232,288.00,8.17,
2286283,290.00,8.40,
2286334,290.00,8.40,
2286386,289.00,8.28,
2286438,289.00,8.28,
2286489,288.00,8.17,
2286540,290.00,8.40,
2286592,288.00,8.17,
2286642,290.00,8.40,
2286693,291.00,8.51,
2286744,289.00,8.28,
2286796,290.00,8.40,
2286848,290.00,8.40,
2286898,288.00,8.17,
2286949,289.00,8.28,
2287000,290.00,8.40,
2287052,289.00,8.28,
2287104,290.00,8.40,
2287154,288.00,8.17,
2287205,289.00,8.28,
2287256,291.00,8.51,
2287307,287.00,8.05,
2287358,289.00,8.28,
2287411,290.00,8.40,
2287462,289.00,8.28,
2287512,289.00,8.28,
2287563,291.00,8.51,
2287616,290.00,8.40,
2287667,289.00,8.28,
2287718,290.00,8.40,
2287768,289.00,8.28,
2287819,290.00,8.40,
2287870,288.00,8.17,
2287923,289.00,8.28,
2287974,288.00,8.17,
2288025,291.00,8.51,
2288075,289.00,8.28,
2288126,287.00,8.05,
2288179,290.00,8.40,
2288230,290.00,8.40,
2288281,290.00,8.40,
2288331,290.00,8.40,
2288382,290.00,8.40,
2288434,289.00,8.28,
2288485,290.00,8.40,
2288537,290.00,8.40,
2288587,290.00,8.40,
2288638,290.00,8.40,
2288690,290.00,8.40,
2288742,291.00,8.51,
2288793,289.00,8.28,
2288844,289.00,8.28,
2288894,290.00,8.40,
2288946,292.00,8.63,
2288997,290.00,8.40,
2289049,291.00,8.51,
2289100,291.00,8.51,
2289152,290.00,8.40,
2289202,289.00,8.28,
2289253,290.00,8.40,
2289305,290.00,8.40,
2289356,291.00,8.51,
2289406,290.00,8.40,
2289458,290.00,8.40,
2289509,289.00,8.28,
2289561,291.00,8.51,
2289612,290.00,8.40,
2289664,289.00,8.28,
2289715,291.00,8.51,
2289766,291.00,8.51,
2289816,292.00,8.63,
2289867,292.00,8.63,
2289918,289.00,8.28,
2289971,289.00,8.28,
2290022,292.00,8.63,
2290073,292.00,8.63,
2290124,291.00,8.51,
2290174,292.00,8.63,
2290227,291.00,8.51,
2290278,292.00,8.63,
2290329,291.00,8.51,
2290380,290.00,8.40,
2290430,291.00,8.51,
2290482,289.00,8.28,
2290534,290.00,8.40,
2290585,292.00,8.63,
2290635,292.00,8.63,
2290686,290.00,8.40,
2290739,291.00,8.51,
2290790,291.00,8.51,
2290840,291.00,8.51,
2290891,290.00,8.40,
2290944,288.00,8.17,
2290995,292.00,8.63,
2291045,290.00,8.40,
2291096,292.00,8.63,
2291147,292.00,8.63,
2291198,290.00,8.40,
2291251,291.00,8.51,
2291302,289.00,8.28,
2291353,291.00,8.51,
2291403,289.00,8.28,
2291456,270.00,6.09,
2291506,213.00,-0.47,
2291558,211.00,-0.70,
2291609,213.00,-0.47,
2291660,212.00,-0.59,
2291710,212.00,-0.59,
2291762,211.00,-0.70,
2291813,212.00,-0.59,
2291864,212.00,-0.59,
2291915,212.00,-0.59,
2291968,212.00,-0.59,
2292018,211.00,-0.70,
2292070,212.00,-0.59,
2292121,213.00,-0.47,
2292172,211.00,-0.70,
2292224,212.00,-0.59,
2292275,213.00,-0.47,
2292326,212.00,-0.59,
2292376,211.00,-0.70,
2292428,212.00,-0.59,
2292480,212.00,-0.59,
2292531,211.00,-0.70,
2292582,211.00,-0.70,
2292632,211.00,-0.70,
2292683,211.00,-0.70,
2292734,212.00,-0.59,
2292786,212.00,-0.59,
2292838,212.00,-0.59,
2292889,213.00,-0.47,
2292939,212.00,-0.59,
2292990,212.00,-0.59,
2293043,212.00,-0.59,
2293094,211.00,-0.70,
2293144,212.00,-0.59,
2293196,212.00,-0.59,
2293248,212.00,-0.59,
2293298,213.00,-0.47,
2293349,212.00,-0.59,
2293401,211.00,-0.70,
2293451,211.00,-0.70,
2293502,212.00,-0.59,
