#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1619712,211.00,-0.70,
1619762,213.00,-0.47,
1619813,211.00,-0.70,
1619865,212.00,-0.59,
1619916,211.00,-0.70,
1619966,211.00,-0.70,
1620018,211.00,-0.70,
1620070,213.00,-0.47,
1620120,211.00,-0.70,
1620172,212.00,-0.59,
1620222,211.00,-0.70,
1620274,299.00,9.43,
1620326,279.00,7.13,
1620376,347.00,14.96,
1620428,383.00,19.11,
1620480,394.00,20.37,
1620531,403.00,21.41,
1620581,390.00,19.91,
1620632,382.00,18.99,
1620684,383.00,19.11,
1620734,393.00,20.26,
1620786,389.00,19.80,
1620837,387.00,19.57,
1620888,382.00,18.99,
1620939,385.00,19.34,
1620992,389.00,19.80,
1621042,385.00,19.34,
1621094,388.00,19.68,
1621145,385.00,19.34,
1621196,386.00,19.45,
1621246,387.00,19.57,
1621299,390.00,19.91,
1621349,390.00,19.91,
1621400,388.00,19.68,
1621451,388.00,19.68,
1621502,383.00,19.11,
1621555,386.00,19.45,
1621605,385.00,19.34,
1621657,388.00,19.68,
1621708,384.00,19.22,
1621758,385.00,19.34,
1621811,385.00,19.34,
1621862,388.00,19.68,
1621913,383.00,19.11,
1621963,383.00,19.11,
1622016,383.00,19.11,
1622067,386.00,19.45,
1622117,385.00,19.34,
1622169,384.00,19.22,
1622219,387.00,19.57,
1622272,383.00,19.11,
1622322,384.00,19.22,
1622374,386.00,19.45,
1622424,382.00,18.99,
1622476,386.00,19.45,
1622526,385.00,19.34,
1622579,384.00,19.22,
1622630,383.00,19.11,
1622680,384.00,19.22,
1622732,380.00,18.76,
1622782,380.00,18.76,
1622834,383.00,19.11,
1622886,382.00,18.99,
1622936,384.00,19.22,
1622988,380.00,18.76,
1623040,384.00,19.22,
1623090,381.00,18.88,
1623142,381.00,18.88,
1623193,381.00,18.88,
1623243,382.00,18.99,
1623296,385.00,19.34,
1623346,379.00,18.65,
1623398,380.00,18.76,
1623449,382.00,18.99,
1623499,381.00,18.88,
1623552,383.00,19.11,
1623603,380.00,18.76,
1623653,382.00,18.99,
1623705,379.00,18.65,
1623755,382.00,18.99,
1623806,380.00,18.76,
1623859,383.00,19.11,
1623909,383.00,19.11,
1623960,381.00,18.88,
1624012,382.00,18.99,
1624062,383.00,19.11,
1624115,382.00,18.99,
1624166,380.00,18.76,
1624216,381.00,18.88,
1624268,382.00,18.99,
1624318,383.00,19.11,
1624371,383.00,19.11,
1624422,379.00,18.65,
1624472,382.00,18.99,
1624524,383.00,19.11,
1624574,383.00,19.11,
1624626,383.00,19.11,
1624678,382.00,18.99,
1624728,380.00,18.76,
1624779,381.00,18.88,
1624832,379.00,18.65,
1624883,380.00,18.76,
1624933,381.00,18.88,
1624985,381.00,18.88,
1625036,381.00,18.88,
1625086,384.00,19.22,
1625139,383.00,19.11,
1625189,382.00,18.99,
1625240,381.00,18.88,
1625292,381.00,18.88,
1625344,382.00,18.99,
1625394,382.00,18.99,
1625446,381.00,18.88,
1625497,384.00,19.22,
1625547,383.00,19.11,
1625600,383.00,19.11,
1625650,383.00,19.11,
1625701,380.00,18.76,
1625753,381.00,18.88,
1625803,381.00,18.88,
1625854,380.00,18.76,
1625907,382.00,18.99,
1625957,381.00,18.88,
1626008,381.00,18.88,
1626060,382.00,18.99,
1626110,381.00,18.88,
1626163,380.00,18.76,
1626214,380.00,18.76,
1626264,383.00,19.11,
1626316,379.00,18.65,
1626368,383.00,19.11,
1626418,381.00,18.88,
1626470,382.00,18.99,
1626520,382.00,18.99,
1626571,384.00,19.22,
1626624,382.00,18.99,
1626675,384.00,19.22,
1626725,381.00,18.88,
1626777,383.00,19.11,
1626828,383.00,19.11,
1626878,381.00,18.88,
1626931,382.00,18.99,
1626982,382.00,18.99,
1627032,385.00,19.34,
1627084,386.00,19.45,
1627136,383.00,19.11,
1627186,382.00,18.99,
1627238,386.00,19.45,
1627289,384.00,19.22,
1627339,383.00,19.11,
1627392,382.00,18.99,
1627443,381.00,18.88,
1627493,383.00,19.11,
1627545,383.00,19.11,
1627596,384.00,19.22,
1627646,385.00,19.34,
1627699,381.00,18.88,
1627749,383.00,19.11,
1627800,382.00,18.99,
1627852,382.00,18.99,
1627902,382.00,18.99,
1627955,383.00,19.11,
1628006,382.00,18.99,
1628056,383.00,19.11,
1628108,383.00,19.11,
1628160,383.00,19.11,
1628210,383.00,19.11,
1628262,384.00,19.22,
1628312,386.00,19.45,
1628364,384.00,19.22,
1628416,383.00,19.11,
1628466,384.00,19.22,
1628518,386.00,19.45,
1628568,385.00,19.34,
1628620,384.00,19.22,
1628670,384.00,19.22,
1628723,383.00,19.11,
1628773,383.00,19.11,
1628825,385.00,19.34,
1628875,385.00,19.34,
1628926,388.00,19.68,
1628979,387.00,19.57,
1629029,388.00,19.68,
1629081,383.00,19.11,
1629132,386.00,19.45,
1629182,385.00,19.34,
1629234,383.00,19.11,
1629286,386.00,19.45,
1629336,385.00,19.34,
1629388,385.00,19.34,
1629440,389.00,19.80,
1629491,385.00,19.34,
1629541,387.00,19.57,
1629593,385.00,19.34,
1629644,385.00,19.34,
1629696,388.00,19.68,
1629747,387.00,19.57,
1629797,387.00,19.57,
1629848,388.00,19.68,
1629900,387.00,19.57,
1629950,388.00,19.68,
1630002,387.00,19.57,
1630053,390.00,19.91,
1630105,390.00,19.91,
1630155,389.00,19.80,
1630206,389.00,19.80,
1630259,386.00,19.45,
1630310,389.00,19.80,
1630361,387.00,19.57,
1630412,386.00,19.45,
1630462,387.00,19.57,
1630514,391.00,20.03,
1630566,387.00,19.57,
1630616,389.00,19.80,
1630668,390.00,19.91,
1630720,388.00,19.68,
1630771,389.00,19.80,
1630821,388.00,19.68,
1630872,388.00,19.68,
1630924,391.00,20.03,
1630976,388.00,19.68,
1631026,390.00,19.91,
1631078,389.00,19.80,
1631129,392.00,20.14,
1631180,391.00,20.03,
1631232,388.00,19.68,
1631283,391.00,20.03,
1631333,390.00,19.91,
1631385,391.00,20.03,
1631435,388.00,19.68,
1631488,388.00,19.68,
1631539,390.00,19.91,
1631590,389.00,19.80,
1631641,388.00,19.68,
1631691,388.00,19.68,
1631744,389.00,19.80,
1631795,389.00,19.80,
1631846,391.00,20.03,
1631897,392.00,20.14,
1631948,391.00,20.03,
1632000,390.00,19.91,
1632051,391.00,20.03,
1632101,390.00,19.91,
1632153,391.00,20.03,
1632204,391.00,20.03,
1632254,392.00,20.14,
1632307,391.00,20.03,
1632357,392.00,20.14,
1632409,388.00,19.68,
1632460,390.00,19.91,
1632512,392.00,20.14,
1632562,393.00,20.26,
1632614,390.00,19.91,
1632664,392.00,20.14,
1632716,388.00,19.68,
1632766,392.00,20.14,
1632819,390.00,19.91,
1632870,392.00,20.14,
1632920,391.00,20.03,
1632972,390.00,19.91,
1633024,392.00,20.14,
1633074,391.00,20.03,
1633126,393.00,20.26,
1633177,394.00,20.37,
1633227,393.00,20.26,
1633280,392.00,20.14,
1633331,391.00,20.03,
1633381,392.00,20.14,
1633433,393.00,20.26,
1633483,392.00,20.14,
1633536,393.00,20.26,
1633587,389.00,19.80,
1633637,392.00,20.14,
1633689,393.00,20.26,
1633740,396.00,20.60,
1633790,389.00,19.80,
1633843,391.00,20.03,
1633893,393.00,20.26,
1633945,392.00,20.14,
1633995,391.00,20.03,
1634048,392.00,20.14,
1634099,392.00,20.14,
1634149,390.00,19.91,
1634200,393.00,20.26,
1634252,393.00,20.26,
1634302,391.00,20.03,
1634355,391.00,20.03,
1634406,392.00,20.14,
1634456,394.00,20.37,
1634508,392.00,20.14,
1634558,393.00,20.26,
1634610,392.00,20.14,
1634662,389.00,19.80,
1634712,392.00,20.14,
1634763,393.00,20.26,
1634816,390.00,19.91,
1634867,394.00,20.37,
1634917,389.00,19.80,
1634969,392.00,20.14,
1635020,390.00,19.91,
1635070,393.00,20.26,
1635123,393.00,20.26,
1635174,395.00,20.49,
1635224,394.00,20.37,
1635276,394.00,20.37,
1635326,392.00,20.14,
1635378,390.00,19.91,
1635429,390.00,19.91,
1635481,391.00,20.03,
1635532,350.00,15.31,
1635584,213.00,-0.47,
1635635,210.00,-0.82,
1635686,213.00,-0.47,
1635736,213.00,-0.47,
1635788,213.00,-0.47,
1635840,214.00,-0.36,
1635891,213.00,-0.47,
1635941,213.00,-0.47,
1635992,213.00,-0.47,
1636044,212.00,-0.59,
1636096,212.00,-0.59,
1636147,211.00,-0.70,
1636198,213.00,-0.47,
1636249,211.00,-0.70,
1636300,211.00,-0.70,
1636350,212.00,-0.59,
1636403,212.00,-0.59,
1636453,213.00,-0.47,
1636505,213.00,-0.47,
1636556,211.00,-0.70,
1636608,212.00,-0.59,
1636659,211.00,-0.70,
1636710,213.00,-0.47,
1636760,213.00,-0.47,
1636812,213.00,-0.47,
1636864,213.00,-0.47,
1636915,213.00,-0.47,
1636965,213.00,-0.47,
1637017,213.00,-0.47,
1637067,212.00,-0.59,
1637118,213.00,-0.47,
1637171,210.00,-0.82,
1637222,211.00,-0.70,
1637272,212.00,-0.59,
1637323,211.00,-0.70,
1637376,212.00,-0.59,
1637426,212.00,-0.59,
1637478,213.00,-0.47,
1637529,213.00,-0.47,
