        p           t         isp           m          cp         gam         rho          mw
   2.4132E+01  2.9561E+03  0.0000E+00  0.0000E+00  3.4851E+00  1.1666E+00  2.0113E+00  2.0486E+01
   1.3722E+01  2.7356E+03  1.1404E+03  0.0000E+00  3.0370E+00  1.1774E+00  1.2424E+00  2.0593E+01
   2.4821E+01  2.9573E+03  0.0000E+00  0.0000E+00  3.4724E+00  1.1669E+00  2.0682E+00  2.0488E+01
   1.4113E+01  2.7363E+03  1.1406E+03  0.0000E+00  3.0284E+00  1.1777E+00  1.2776E+00  2.0595E+01
   2.4132E+01  2.9723E+03  0.0000E+00  0.0000E+00  3.5535E+00  1.1646E+00  2.0080E+00  2.0564E+01
   1.3733E+01  2.7541E+03  1.1408E+03  0.0000E+00  3.0883E+00  1.1752E+00  1.2401E+00  2.0678E+01
   2.4821E+01  2.9736E+03  0.0000E+00  0.0000E+00  3.5401E+00  1.1648E+00  2.0647E+00  2.0567E+01
   1.4124E+01  2.7548E+03  1.1410E+03  0.0000E+00  3.0790E+00  1.1755E+00  1.2752E+00  2.0679E+01
   2.4132E+01  2.9881E+03  0.0000E+00  0.0000E+00  3.6247E+00  1.1626E+00  2.0050E+00  2.0642E+01
   1.3744E+01  2.7722E+03  1.1411E+03  0.0000E+00  3.1426E+00  1.1729E+00  1.2380E+00  2.0761E+01
   2.4821E+01  2.9895E+03  0.0000E+00  0.0000E+00  3.6106E+00  1.1629E+00  2.0616E+00  2.0645E+01
   1.4136E+01  2.7730E+03  1.1414E+03  0.0000E+00  3.1327E+00  1.1732E+00  1.2730E+00  2.0763E+01
   2.4132E+01  3.0033E+03  0.0000E+00  0.0000E+00  3.6988E+00  1.1607E+00  2.0023E+00  2.0719E+01
   1.3755E+01  2.7898E+03  1.1414E+03  0.0000E+00  3.2000E+00  1.1707E+00  1.2361E+00  2.0844E+01
   2.4821E+01  3.0048E+03  0.0000E+00  0.0000E+00  3.6841E+00  1.1609E+00  2.0588E+00  2.0722E+01
   1.4147E+01  2.7906E+03  1.1416E+03  0.0000E+00  3.1895E+00  1.1710E+00  1.2710E+00  2.0846E+01
   2.4132E+01  3.0180E+03  0.0000E+00  0.0000E+00  3.7757E+00  1.1588E+00  1.9998E+00  2.0795E+01
   1.3766E+01  2.8069E+03  1.1415E+03  0.0000E+00  3.2607E+00  1.1685E+00  1.2343E+00  2.0926E+01
   2.4821E+01  3.0196E+03  0.0000E+00  0.0000E+00  3.7603E+00  1.1591E+00  2.0562E+00  2.0798E+01
   1.4158E+01  2.8078E+03  1.1418E+03  0.0000E+00  3.2495E+00  1.1688E+00  1.2692E+00  2.0929E+01
   2.4132E+01  3.0323E+03  0.0000E+00  0.0000E+00  3.8555E+00  1.1569E+00  1.9976E+00  2.0870E+01
   1.3777E+01  2.8236E+03  1.1416E+03  0.0000E+00  3.3246E+00  1.1663E+00  1.2328E+00  2.1008E+01
   2.4821E+01  3.0339E+03  0.0000E+00  0.0000E+00  3.8393E+00  1.1572E+00  2.0539E+00  2.0873E+01
   1.4169E+01  2.8246E+03  1.1419E+03  0.0000E+00  3.3127E+00  1.1666E+00  1.2676E+00  2.1010E+01
   2.4132E+01  3.0460E+03  0.0000E+00  0.0000E+00  3.9379E+00  1.1552E+00  1.9956E+00  2.0944E+01
   1.3787E+01  2.8398E+03  1.1417E+03  0.0000E+00  3.3920E+00  1.1641E+00  1.2314E+00  2.1088E+01
   2.4821E+01  3.0477E+03  0.0000E+00  0.0000E+00  3.9211E+00  1.1554E+00  2.0519E+00  2.0948E+01
   1.4180E+01  2.8409E+03  1.1420E+03  0.0000E+00  3.3794E+00  1.1644E+00  1.2661E+00  2.1090E+01
   2.4132E+01  3.0593E+03  0.0000E+00  0.0000E+00  4.0230E+00  1.1534E+00  1.9939E+00  2.1018E+01
   1.3798E+01  2.8555E+03  1.1416E+03  0.0000E+00  3.4627E+00  1.1619E+00  1.2301E+00  2.1167E+01
   2.4821E+01  3.0610E+03  0.0000E+00  0.0000E+00  4.0055E+00  1.1537E+00  2.0501E+00  2.1021E+01
   1.4191E+01  2.8566E+03  1.1419E+03  0.0000E+00  3.4494E+00  1.1622E+00  1.2648E+00  2.1170E+01
   2.4132E+01  3.0720E+03  0.0000E+00  0.0000E+00  4.1106E+00  1.1517E+00  1.9925E+00  2.1090E+01
   1.3808E+01  2.8708E+03  1.1415E+03  0.0000E+00  3.5370E+00  1.1598E+00  1.2291E+00  2.1246E+01
   2.4821E+01  3.0739E+03  0.0000E+00  0.0000E+00  4.0924E+00  1.1520E+00  2.0486E+00  2.1094E+01
